surname,number
KRUSZYNSKI,3940
HOFFMANN,3937
WERNER,3935
GRODZKI,3933
RESZKA,3930
KURZAWA,3926
SZCZUREK,3926
SZYMANEK,3922
FLAK,3917
RZEPECKI,3912
KEPKA,3904
ROGOZINSKI,3903
SUSKI,3897
GASIOREK,3896
LEWINSKI,3893
BOGDANSKI,3884
LIPIEC,3884
STASZAK,3875
BARTOSZEK,3868
PIECH,3865
KAPUSCINSKI,3860
PERKOWSKI,3857
OLECH,3855
SMOLEN,3855
SZELIGA,3854
JAKUBIEC,3836
ROKICKI,3833
PASZKIEWICZ,3832
JANCZAK,3831
BUGAJSKI,3824
PLICHTA,3824
DZIURA,3818
KOZAKIEWICZ,3816
WRZOSEK,3816
PEKALA,3812
OLSZAK,3803
AMBROZIAK,3799
KULPA,3794
WAJDA,3790
CIOLEK,3783
MAJKOWSKI,3783
RACZKOWSKI,3783
BIALECKI,3781
SUCHECKI,3773
WASIELEWSKI,3773
DUTKIEWICZ,3772
DZIKOWSKI,3769
KAZMIERSKI,3769
CZARNOTA,3768
PISAREK,3768
SZPAK,3765
RADZISZEWSKI,3763
WOJTOWICZ,3759
WYRZYKOWSKI,3756
ADAMCZEWSKI,3755
BUGAJ,3748
KAWALEC,3745
KUPIEC,3743
KOKOSZKA,3738
LANGE,3723
GLADYSZ,3716
KOKOT,3713
ROMANSKI,3711
KAROLAK,3703
RODAK,3701
GOLINSKI,3698
PISZCZEK,3693
BARSZCZ,3691
DOLATA,3691
KALINSKI,3689
PUCHALA,3689
MACZKA,3686
WIELGUS,3682
BANASZAK,3675
WOJTASZEK,3673
FIGURA,3669
KOCHANSKI,3668
KONARSKI,3667
GOLABEK,3666
JASKULSKI,3665
SULKOWSKI,3665
BILINSKI,3657
SZYMANOWSKI,3656
GABRYS,3655
SOLECKI,3650
BIELA,3647
BOJARSKI,3639
STOKLOSA,3639
ZAPALA,3636
OZOG,3633
SMOLAREK,3632
BRODOWSKI,3631
FERENC,3621
LACH,3621
ORZEL,3620
KOLASINSKI,3617
PLATEK,3617
WASZKIEWICZ,3614
CICHOSZ,3612
GARBACZ,3607
OSOWSKI,3607
LASEK,3603
PIERZCHALA,3602
BALICKI,3601
PIECHOCKI,3600
CZUBA,3591
PISKORZ,3591
KOPROWSKI,3586
MACH,3585
BRZESKI,3584
POTOCKI,3584
SZCZYGIELSKI,3583
SZYMANIAK,3583
CHROBAK,3577
PASEK,3572
STEPNIEWSKI,3569
SCHMIDT,3567
TRACZYK,3562
BERNAT,3561
SUROWIEC,3561
SWIERCZEK,3561
ROG,3559
FRANCZAK,3557
MADRY,3556
DOLINSKI,3553
KEMPA,3553
ZBOROWSKI,3552
PLEWA,3551
PARADOWSKI,3550
BUREK,3547
SUDOL,3547
KOSTKA,3540
WDOWIAK,3537
PIETA,3529
GRUCA,3528
PASZEK,3528
JAMROZ,3525
LOREK,3524
GRELA,3523
FILIPCZAK,3521
OSUCH,3519
WAGNER,3516
MATUSIK,3513
BURDA,3510
GORALCZYK,3507
JAROSZEWSKI,3506
WALCZYK,3502
BLONSKI,3499
KRAUZE,3498
SWITALA,3496
ĆWIK,3494
STACHOWSKI,3492
SALA,3490
ZAREBSKI,3489
KOZERA,3483
KAPICA,3481
SZADKOWSKI,3481
DRAG,3479
FIGIEL,3479
OKON,3478
WASOWSKI,3478
WOJCIAK,3477
OLES,3476
CZAPLINSKI,3475
PANASIUK,3474
LACHOWICZ,3473
ANTONIAK,3472
KWASNY,3470
LAWNICZAK,3470
KOLODZIEJCZAK,3469
MODRZEJEWSKI,3469
LOS,3466
WLOCH,3465
ZAWISTOWSKI,3460
WALIGORA,3459
BROZEK,3458
BARON,3457
MROWIEC,3457
WACHOWIAK,3454
GROBELNY,3452
MULARCZYK,3452
BATOR,3451
ĆWIKLINSKI,3451
NALEPA,3451
GRABSKI,3450
POLTORAK,3450
SKWAREK,3449
NADOLNY,3447
OGOREK,3443
MYSLIWIEC,3437
NIEZGODA,3437
JEDYNAK,3421
GAJ,3416
GAZDA,3414
GALECKI,3413
NADOLSKI,3408
MIS,3389
KULIKOWSKI,3386
KOZYRA,3384
BIEL,3382
GLINSKI,3381
BERNACKI,3377
KOSCIELNIAK,3371
SITKO,3371
IWANOWSKI,3363
BORON,3356
MORAWIEC,3356
DOBRZANSKI,3352
ZAWISZA,3348
KRASKA,3346
KROLIK,3346
GRYGIEL,3342
MAJDA,3342
MLYNARSKI,3341
WINNICKI,3341
KOCHANOWSKI,3339
PASTUSZKA,3337
BARTNICKI,3334
JASKOLSKI,3334
BLAZEJEWSKI,3332
BIEN,3331
PRZYBYSZEWSKI,3328
MIECZKOWSKI,3323
STENCEL,3322
GALINSKI,3319
KOSTRZEWSKI,3319
KLIMAS,3317
KAZIMIERCZAK,3311
KOZICKI,3310
SZWEDA,3310
OZGA,3308
DUSZA,3303
WYDRA,3303
NOSAL,3302
SZCZEPANEK,3298
BOGDAN,3294
DOMAGALSKI,3290
WEBER,3284
KLUSKA,3280
SPYCHALA,3280
BLASZKIEWICZ,3279
MATCZAK,3279
ZASADA,3272
WIELGOSZ,3269
KLIMASZEWSKI,3267
WCISLO,3266
JANECZEK,3264
GALAS,3261
IWANICKI,3261
BARTOSIEWICZ,3259
FRANKIEWICZ,3254
PIETRZYKOWSKI,3253
TYMINSKI,3253
LEMANSKI,3252
SOBON,3248
STOPA,3248
ZAWISLAK,3235
SKORUPSKI,3234
BUDA,3233
SOBOCINSKI,3231
RYBA,3229
WALAS,3224
KAKOL,3222
GAJEK,3218
TABOR,3214
SARNOWSKI,3205
SWIERCZ,3199
SZAFRAN,3198
WISZNIEWSKI,3198
KULAS,3196
MARCZEWSKI,3196
MISZCZAK,3196
GUZ,3190
KOLACZ,3190
TURSKI,3186
LAKOMY,3181
RYBINSKI,3179
MIREK,3176
MUSIOL,3174
CZERWONKA,3172
MACHNIK,3172
SLIWKA,3168
TUSZYNSKI,3168
PODSIADLO,3167
BUDNY,3166
ROKITA,3165
STRZALKOWSKI,3165
RYCHLIK,3163
GOLASZEWSKI,3161
GIZA,3159
FURTAK,3158
BRYLA,3157
SLOMKA,3156
SEWERYN,3151
JACKIEWICZ,3150
WNEK,3149
MIKULA,3148
GALUSZKA,3142
KORNACKI,3142
SLOMINSKI,3141
ANTKOWIAK,3139
IWANIUK,3138
SZUBERT,3138
BARTKOWSKI,3130
BOJANOWSKI,3130
CZUBAK,3130
DREWNIAK,3129
KLOSINSKI,3129
JONCZYK,3127
LUDWICZAK,3127
NYCZ,3127
PIENKOWSKI,3122
RUMINSKI,3118
SZCZOTKA,3116
MAKAREWICZ,3115
DWORAK,3109
LEWCZUK,3109
DEBICKI,3107
CHOJECKI,3105
MIZERA,3103
DANIEL,3100
GORALSKI,3099
WILCZEWSKI,3098
MALOLEPSZY,3096
MARCINKIEWICZ,3092
SMYK,3088
ZIOMEK,3086
DAWID,3084
RADZIKOWSKI,3084
LUGOWSKI,3081
WEGLARZ,3081
DUDKIEWICZ,3078
SZOSTEK,3078
KALBARCZYK,3075
NAPIORKOWSKI,3074
SOBCZYNSKI,3074
KOMAR,3073
KASPERSKI,3071
PILARCZYK,3070
GASKA,3068
KALITA,3066
RACZKA,3061
RYBACKI,3061
DUL,3056
CIESLINSKI,3054
BOROWIAK,3046
MASTALERZ,3046
WIERZCHOWSKI,3045
KREFT,3041
KLONOWSKI,3039
PAJOR,3037
CYRAN,3034
RADWANSKI,3031
CHYLINSKI,3027
TARKA,3026
WASZAK,3026
IWAN,3023
PISARSKI,3018
WILINSKI,3016
POREBA,3013
TRUSZKOWSKI,3012
CZAPIEWSKI,3009
KRAUSE,3008
PIEKARZ,3007
WACHOWSKI,3007
OSIECKI,3003
MOTYL,2999
ZIEMBA,2996
SITARZ,2994
GWIAZDA,2993
BABIARZ,2988
OLENDER,2987
LUCZYNSKI,2985
PATER,2984
JELEN,2982
BACZYNSKI,2976
CZAPSKI,2976
TRZASKA,2976
KOBYLINSKI,2971
CABAN,2970
KRZAK,2970
CZARNY,2968
SOSINSKI,2963
MOSKWA,2962
NEUMANN,2962
KLOC,2960
RYDZEWSKI,2960
SZEWCZUK,2960
GOLONKA,2957
SUCHOCKI,2955
PIWOWAR,2953
TOPOLSKI,2950
BACZEK,2949
ZALESKI,2948
ZATORSKI,2946
GREGORCZYK,2942
KRASUSKI,2942
KOZINSKI,2939
MATUSZCZAK,2939
JEZ,2937
MILER,2936
GADEK,2934
MACHOWSKI,2930
MALCZEWSKI,2923
MARKOWICZ,2922
MACIASZEK,2921
FRYDRYCH,2920
POPIOLEK,2920
STARON,2920
DYLEWSKI,2918
DAWIDOWSKI,2917
SAKOWSKI,2914
OSTASZEWSKI,2908
FABISIAK,2896
KIELAR,2896
CZAPLICKI,2888
JARECKI,2885
JAKUBCZAK,2883
KULIGOWSKI,2882
MATYJA,2882
PLUCINSKI,2881
SYNOWIEC,2879
OGRODNIK,2876
RAKOCZY,2875
BADURA,2874
NIEDZWIEDZ,2871
ZALESKI,2871
GAJOS,2870
WIATR,2869
TROJAN,2861
KOSIOREK,2859
SZAFRANIEC,2854
BOGACKI,2849
KARASINSKI,2848
KUSZ,2848
PRZYGODA,2848
KRAWCZYNSKI,2847
MIKOLAJEWSKI,2847
GRZEGORZEWSKI,2845
POPEK,2845
WIDERA,2842
SZMIDT,2839
CHRUSCIEL,2837
SAGAN,2835
SZLACHTA,2831
MOROZ,2830
PACIOREK,2830
CHOWANIEC,2829
WOJNOWSKI,2829
KONDRACKI,2827
MIROWSKI,2827
MROZINSKI,2823
ĆWIEK,2819
BLOCH,2813
KUDLA,2813
KUPCZYK,2813
WOJTKOWSKI,2813
BORECKI,2812
STRZELEC,2811
MIELNIK,2808
KUNICKI,2806
NOWOSIELSKI,2806
SEKOWSKI,2803
TRAWINSKI,2803
KOSIOR,2798
NOCON,2795
STARZYNSKI,2794
JOZEFOWICZ,2793
KARBOWSKI,2793
MAJER,2790
BORUCKI,2786
SARNA,2786
BOROWIECKI,2784
SIUDA,2783
KEPINSKI,2781
BOGDANOWICZ,2777
GANCARZ,2775
PYKA,2774
MYSZKA,2771
MAKA,2770
KOTARSKI,2769
DZIECIOL,2768
PLACZEK,2767
BARCZYK,2766
