name,gender,number
ANICETA,FEMALE,353
ZANNA,FEMALE,352
JULIIA,FEMALE,352
LOLITA,FEMALE,350
BIBIANNA,FEMALE,348
AISHA,FEMALE,345
LUISA,FEMALE,344
LUDMYLA,FEMALE,343
ECATERINA,FEMALE,342
SHARON,FEMALE,341
EMILIE,FEMALE,336
MALIKA,FEMALE,336
THI,FEMALE,334
CARLA,FEMALE,333
HERMINA,FEMALE,333
KESJA,FEMALE,332
LARISSA,FEMALE,330
NADEZHDA,FEMALE,322
VIVIENNE,FEMALE,321
ANDRZELIKA,FEMALE,318
ALLA,FEMALE,318
CAMILLA,FEMALE,317
ADI,FEMALE,317
KATIA,FEMALE,317
ILZA,FEMALE,316
LYDIA,FEMALE,316
YULIANNA,FEMALE,316
HELEN,FEMALE,316
VLADISLAVA,FEMALE,315
JOHANNA,FEMALE,314
ADAMINA,FEMALE,314
SZARLOTA,FEMALE,314
NATIA,FEMALE,312
KLAVDIIA,FEMALE,311
KATARINA,FEMALE,310
MEGAN,FEMALE,308
MODESTA,FEMALE,308
MIKA,FEMALE,308
LIUBOU,FEMALE,307
IULIA,FEMALE,307
ROSE,FEMALE,306
RACHELA,FEMALE,306
CAMILA,FEMALE,306
ELENI,FEMALE,306
LUDWINA,FEMALE,304
LORENA,FEMALE,304
NILA,FEMALE,301
ASTRID,FEMALE,300
SUSANNE,FEMALE,300
LANA,FEMALE,298
CORNELIA,FEMALE,297
LIUBOMYRA,FEMALE,295
SWITLANA,FEMALE,295
NASTAZJA,FEMALE,294
ESTHER,FEMALE,294
MALVINA,FEMALE,293
MARYAM,FEMALE,293
WERA,FEMALE,293
KARINE,FEMALE,292
ALESSANDRA,FEMALE,292
GRACE,FEMALE,290
SONJA,FEMALE,289
PETRA,FEMALE,288
OTOLIA,FEMALE,288
YESENIIA,FEMALE,287
ALESSIA,FEMALE,286
REBECCA,FEMALE,285
ANJA,FEMALE,285
LEONORA,FEMALE,285
AMELIIA,FEMALE,283
INGRYDA,FEMALE,282
OLIVIIA,FEMALE,281
YEVDOKIIA,FEMALE,281
KARMEN,FEMALE,280
ANASTASIJA,FEMALE,279
LUCJANNA,FEMALE,279
WINCENTYNA,FEMALE,278
LIIA,FEMALE,277
URSULA,FEMALE,277
ARLENA,FEMALE,275
NADIJA,FEMALE,275
ROSA,FEMALE,274
LEAH,FEMALE,274
HIERONIMA,FEMALE,273
WIELISLAWA,FEMALE,272
DORIS,FEMALE,272
SERAFINA,FEMALE,272
CYNTHIA,FEMALE,272
FATMA,FEMALE,271
VLADLENA,FEMALE,271
KAROLA,FEMALE,270
ZOSIA,FEMALE,269
PRAKSEDA,FEMALE,269
STEPANIIA,FEMALE,269
LEONA,FEMALE,269
SUSAN,FEMALE,268
NATALIJA,FEMALE,268
KATRIN,FEMALE,267
LILLI,FEMALE,266
SOFIE,FEMALE,264
DARIYA,FEMALE,263
NADEJDA,FEMALE,263
TEONA,FEMALE,263
ASIA,FEMALE,262
HERONIMA,FEMALE,259
MARINE,FEMALE,259
AURELA,FEMALE,258
MIRONA,FEMALE,257
ANAT,FEMALE,257
SOFYA,FEMALE,256
LAURENCJA,FEMALE,255
LIUBA,FEMALE,255
ZARA,FEMALE,255
ESTER,FEMALE,255
EVGENIIA,FEMALE,254
SOLOMIA,FEMALE,253
YVONNE,FEMALE,251
KIARA,FEMALE,251
YASMINA,FEMALE,250
TAL,FEMALE,250
ERWINA,FEMALE,250
IRMGARD,FEMALE,249
PAULINE,FEMALE,249
JOLENTA,FEMALE,248
FABIOLA,FEMALE,248
LEONIDA,FEMALE,247
BELLA,FEMALE,247
NONNA,FEMALE,245
ZEYNEP,FEMALE,245
THỊ,FEMALE,244
CHANTAL,FEMALE,244
ELIF,FEMALE,243
RONI,FEMALE,242
SYNTIA,FEMALE,241
GABRIELLE,FEMALE,241
MERVE,FEMALE,240
DEBORAH,FEMALE,239
SHIRA,FEMALE,239
RENA,FEMALE,238
DANIELLA,FEMALE,237
ZORYANA,FEMALE,237
SUSANA,FEMALE,237
AMALIIA,FEMALE,237
HILDA,FEMALE,237
RIMMA,FEMALE,236
NADJA,FEMALE,236
NELI,FEMALE,236
REBEKA,FEMALE,234
AGATHA,FEMALE,234
MARHARITA,FEMALE,233
KHATUNA,FEMALE,233
VIYALETA,FEMALE,233
WLODZIMIERA,FEMALE,232
DOLORES,FEMALE,231
KSAWERA,FEMALE,230
FLORA,FEMALE,230
NOELIA,FEMALE,230
AYA,FEMALE,229
BLANCA,FEMALE,229
KARLA,FEMALE,228
KAMELIA,FEMALE,227
ILIANA,FEMALE,226
VIVIANA,FEMALE,226
ANNA-MARIA,FEMALE,226
ROBERTA,FEMALE,226
RADA,FEMALE,226
SALMA,FEMALE,226
BEATRIZ,FEMALE,225
DANIELLE,FEMALE,225
IRIS,FEMALE,224
TADEUSZA,FEMALE,224
KRYSTIANA,FEMALE,224
STELA,FEMALE,222
VICTORIIA,FEMALE,221
MILLA,FEMALE,221
EVGENIA,FEMALE,221
SUZANNA,FEMALE,220
AUGUSTA,FEMALE,219
VIRGINIA,FEMALE,218
ANI,FEMALE,218
DENISE,FEMALE,217
VIVIAN,FEMALE,215
PATRIZIA,FEMALE,214
EVELYN,FEMALE,214
HERTA,FEMALE,214
JAGIENKA,FEMALE,214
SALOME,FEMALE,212
IVANA,FEMALE,212
NORA,FEMALE,212
GUSTAWA,FEMALE,212
ALOJZA,FEMALE,212
SUZANNE,FEMALE,211
TATJANA,FEMALE,211
IZYDORA,FEMALE,211
PAVLINA,FEMALE,210
MARÍA,FEMALE,210
VANDA,FEMALE,209
EDITH,FEMALE,208
RUT,FEMALE,208
BOGDA,FEMALE,208
KRISTINE,FEMALE,208
SCARLETT,FEMALE,207
YELIZAVIETA,FEMALE,207
JULIETA,FEMALE,206
VANESA,FEMALE,205
ZBIGNIEWA,FEMALE,205
EVGENIYA,FEMALE,204
DIONIZA,FEMALE,203
YEVHENIYA,FEMALE,203
JENNY,FEMALE,202
FELICYTA,FEMALE,202
ROMINA,FEMALE,201
SIMONE,FEMALE,201
HANIA,FEMALE,200
VITTORIA,FEMALE,200
LOLA,FEMALE,199
KORYNA,FEMALE,198
WALBURGA,FEMALE,197
